시군명,사업장명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,폐업일자,소재지시설전화번호,소재지면적정보,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,업태구분명정보,X좌표값,Y좌표값,축산업무구분명,축산고유번호,권리주체일련번호
가평군,가평축산농협 동물병원,20110418,,0004,말소,,582-4111,0,,경기도 가평군 가평읍 가화로 55-12 (대곡리),경기도 가평군 가평읍 대곡리 166-1번지 ,12420,37.8248498,127.5149412,,245272.399227679    ,480386.602337806    ,동물병원,,L00
가평군,가평동물병원,19990119,,0004,말소,,,0,,경기도 가평군 가평읍 굴다리길 15-1 (대곡리),경기도 가평군 가평읍 대곡리 236-7번지,12420,37.8261804,127.5135193,,245147.288587871,480533.900451766,동물병원,,000
가평군,가평축산농협 동물병원,20110418,,0004,말소,,582-4111,0,,경기도 가평군 가평읍 가화로 55-12 (대곡리),경기도 가평군 가평읍 대곡리 166-1번지 ,12420,37.8248498,127.5149412,,245272.399227679    ,480386.602337806    ,동물병원,,000
가평군,경기동물병원,19900303,,0004,말소,,,0,,경기도 가평군 청평면 청평중앙로 8 (청평리),경기도 가평군 청평면 청평리 438-23번지,12453,37.7357751,127.4158685,,236594.523885646,470455.677127581,동물병원,,000
가평군,가평축산농협 동물병원,20110421,,0000,정상,,031-582-4111,24,12420,"경기도 가평군 가평읍 가화로 55-17, 가평축산농협",경기도 가평군 가평읍 대곡리 166-2번지 가평축산농협 ,12420,37.8244544,127.5147113,,245266.428269564    ,480367.972682929    ,동물병원,,L00
가평군,우랑동물병원(산업동물출장진료전문병원),20171228,,0000,정상,,,18,12414,경기도 가평군 가평읍 중촌로 11,경기도 가평군 가평읍 읍내리 602 ,12414,37.8331234043,127.5089209010,,244728.675615824    ,481292.971523445    ,동물병원,0,000
가평군,경기동물병원,19900303,,0000,정상,,,0,12453,"경기도 가평군 청평면 청평중앙로 8, 경기동물병원",경기도 가평군 청평면 청평리 438-23번지 경기동물병원 ,12453,37.7357751,127.4158685,,236594.523885646    ,470455.677127581    ,동물병원,,000
가평군,설악동물병원,20131211,,0000,정상,,584-3063,34.02,12467,경기도 가평군 설악면 신천중앙로 117,경기도 가평군 설악면 신천리 454-3번지 ,12467,37.6777754,127.4903847,,243195.791201183    ,464052.734997696    ,동물병원,,000
가평군,현리동물병원,20020829,,0000,정상,,,0,12437,경기도 가평군 조종면 현창로 70 (현리동물병원),경기도 가평군 조종면 현리 303-6번지 ,12437,37.8204256545,127.3464232861,,230438.340032529    ,479828.062881792    ,동물병원,,000
가평군,가평가축병원,19750416,,0000,정상,,582-2412,0,12420,경기도 가평군 가평읍 오리나무길 27 (조은장여관),경기도 가평군 가평읍 대곡리 230-3번지 ,12420,37.8249884,127.5141585,,245202.897129881    ,480399.438730518    ,동물병원,,000
